그룹_원,그룹,시스템 명,모니터링 등록이름,IP 주소,SNMPWALK
Backbone Network,Network/Backbone Network,Yeouido BB,Yeouido BB,192.168.16.1,kdinfrasnmp
Backbone Network,Network/Backbone Network,Echohub BB,Echohub BB,192.168.60.1,kdinfrasnmp
Backbone Network,Network/Backbone Network,Daejeon Call Center BB,Daejeon Call Center BB,192.168.31.1,kdinfrasnmp
L2 Network,Network/L2 Network,Seotan Call Center Subhub,Seotan Call Center Subhub,192.168.35.254,kdinfrasnmp
L2 Network,Network/L2 Network,Seotan Call Center Mainhub,Seotan Call Center Mainhub,192.168.35.253,kdinfrasnmp
HDR Center Network,Network/HDR Center Network,HRD Center Main Switch,HRD Center Main Switch,192.168.52.2,kdinfrasnmp
Backbone Network,Network/Backbone Network,Beijing Branch BB,Beijing Branch BB,201.1.5.254,kdinfrasnmp
Backbone Network,Network/Backbone Network,US Branch BB,US Branch BB,192.168.210.254,kdinfrasnmp
Firewall Network,Network/Firewall Network,Echohub Firewall,Echohub Firewall,192.168.99.253,kdinfrasnmp
Firewall Network,Network/Firewall Network,Yeouido Firewall,Yeouido Firewall,10.200.200.254,kdinfrasnmp
IPSEC-VPN Network,Network/IPSEC-VPN Network,UK IPSEC VPN,UK IPSEC VPN,192.168.120.254,kdinfrasnmp
IPSEC-VPN Network,Network/IPSEC-VPN Network,Echohub IPSEC VPN,Echohub IPSEC VPN,192.168.98.2,kdinfrasnmp
IPSEC-VPN Network,Network/IPSEC-VPN Network,Guro R&D Center IPSEC VPN,Guro R_D Center IPSEC VPN,192.168.26.2,kdinfrasnmp
IPSEC-VPN Network,Network/IPSEC-VPN Network,Yeouido IPSEC VPN,Yeouido IPSEC VPN,10.200.200.253,kdinfrasnmp
IPSEC-VPN Network,Network/IPSEC-VPN Network,Seotan Call Center IPSEC VPN,Seotan Call Center IPSEC VPN,192.168.35.2,kdinfrasnmp
IPSEC-VPN Network,Network/IPSEC-VPN Network,Daejeon Call Center IPSEC VPN,Daejeon Call Center IPSEC VPN,192.168.31.254,kdinfrasnmp
Backbone Network,Network/Backbone Network,Guro R&D BB,Guro R_D BB,192.168.27.1,kdinfrasnmp
L2 Network,Network/L2 Network,Groupware L2,Groupware L2,128.5.0.247,kdinfrasnmp
L4 Network,Network/L4 Network,Groupware PRI L4,Groupware PRI L4,128.5.0.246,kdinfrasnmp
L4 Network,Network/L4 Network,Groupware PUB L4,Groupware PUB L4,219.248.25.84,kdinfrasnmp
IPSEC-VPN Network,Network/IPSEC-VPN Network,Incheon Center VPN,Incheon Center VPN,192.168.42.1,kdinfrasnmp
Firewall Network,Network/Firewall Network,Guro R&D Firewall,Guro R_D Firewall,175.124.155.2,kdinfrasnmp
IPSEC-VPN Network,Network/IPSEC-VPN Network,Echohub (Yeouido) IPSEC VPN,Echohub IPSEC VPN,192.168.98.3,kdinfrasnmp
IPSEC-VPN Network,Network/IPSEC-VPN Network,Gasan Factory IPSEC VPN,Gasan Factory IPSEC VPN,10.1.51.126,kdinfrasnmp
IPSEC-VPN Network,Network/IPSEC-VPN Network,Pyeongtaek Center IPSEC VPN,Pyeongtaek Center IPSEC VPN,61.98.148.83,kdinfrasnmp
IPSEC-VPN Network,Network/IPSEC-VPN Network,Eumseong Factory IPSEC VPN,Eumseong Factory IPSEC VPN,211.59.16.202,kdinfrasnmp
L4 Network,Network/L4 Network,CIC L4,CIC L4,192.168.35.98,kdinfrasnmp
SWG Network,Network/SWG Network,Yeouido SWG,Yeouido SWG,10.200.200.240,kdinfrasnmp
SWG Network,Network/SWG Network,Seotan SWG,Seotan SWG,128.1.1.240,kdinfrasnmp
SWG Network,Network/SWG Network,Asan SWG,Asan SWG,128.6.1.3,kdinfrasnmp
SWG Network,Network/SWG Network,Guro SWG,Guro SWG,192.168.26.240,kdinfrasnmp
DLP Network,Network/DLP Network,Guro DLP,Guro DLP,192.168.27.200,kdinfrasnmp
DLP Network,Network/DLP Network,Seotan DLP,Seotan DLP,128.1.1.241,kdinfrasnmp
DLP Network,Network/DLP Network,Asan DLP,Asan DLP,128.6.1.4,kdinfrasnmp
DLP Network,Network/DLP Network,Yeouido DLP,Yeouido DLP,10.200.200.241,kdinfrasnmp
L2 Network,Network/L2 Network,Seotan Factory Server Farm_128.5.0.2,Seotan Factory Server Farm_128.5.0.2,128.5.0.2,kdinfrasnmp
IPSEC-VPN Network,Network/IPSEC-VPN Network,Gangseo Center IPSEC VPN,Gangseo Center IPSEC VPN,192.168.150.1,kdinfrasnmp
IPSEC-VPN Network,Network/IPSEC-VPN Network,Yeouido CCM IPSEC VPN,Yeouido CCM IPSEC VPN,192.168.218.3,kdinfrasnmp
Backbone Network,Network/Backbone Network,Yeouido CCM BB,Yeouido CCM BB,192.168.218.1,kdinfrasnmp
IPSEC-VPN Network,Network/IPSEC-VPN Network,Daejeon Center IPSEC VPN,Daejeon Center IPSEC VPN,192.168.55.1,kdinfrasnmp
IPSEC-VPN Network,Network/IPSEC-VPN Network,HRD Center VPN,HRD Center VPN,192.168.52.1,kdinfrasnmp
IPSEC-VPN Network,Network/IPSEC-VPN Network,Asan Factory IPSEC VPN,Asan Factory IPSEC VPN,128.6.1.1,kdinfrasnmp
IPSEC-VPN Network,Network/IPSEC-VPN Network,Pyeongtaek Factory IPSEC VPN,Pyeongtaek Factory IPSEC VPN,10.1.10.254,kdinfrasnmp
L4 Network,Network/L4 Network,M365 L4,M365 L4,128.1.1.60,kdinfrasnmp
IPSEC-VPN Network,Network/IPSEC-VPN Network,Gangbuk Center IPSEC VPN,Gangbuk Center IPSEC VPN,192.168.41.1,kdinfrasnmp
IPSEC-VPN Network,Network/IPSEC-VPN Network,Gyeongju Factory IPSEC VPN,Gyeongju Factory IPSEC VPN,128.6.2.1,kdinfrasnmp
IPSEC-VPN Network,Network/IPSEC-VPN Network,Gwangju Branch IPSEC VPN,Gwangju Branch IPSEC VPN,192.168.44.1,kdinfrasnmp
IPSEC-VPN Network,Network/IPSEC-VPN Network,Daegu Branch IPSEC VPN,Daegu Branch IPSEC VPN,192.168.46.1,kdinfrasnmp
IPSEC-VPN Network,Network/IPSEC-VPN Network,Daejeon Branch IPSEC VPN,Daejeon Branch IPSEC VPN,192.168.43.1,kdinfrasnmp
IPSEC-VPN Network,Network/IPSEC-VPN Network,Busan Branch IPSEC VPN,Busan Branch IPSEC VPN,192.168.45.1,kdinfrasnmp
IPSEC-VPN Network,Network/IPSEC-VPN Network,Ulsan Center IPSEC VPN,Ulsan Center IPSEC VPN,192.168.47.1,kdinfrasnmp
IPSEC-VPN Network,Network/IPSEC-VPN Network,Wonju Branch IPSEC VPN,Wonju Branch IPSEC VPN,192.168.48.1,kdinfrasnmp
IPSEC-VPN Network,Network/IPSEC-VPN Network,Jeju Center IPSEC VPN,Jeju Center IPSEC VPN,192.168.140.1,kdinfrasnmp
IPSEC-VPN Network,Network/IPSEC-VPN Network,Songtan Factory IPSEC VPN,Songtan Factory IPSEC VPN,128.9.1.253,kdinfrasnmp
IPSEC-VPN Network,Network/IPSEC-VPN Network,Chungju Factory IPSEC VPN,Chungju Factory IPSEC VPN,192.168.10.2,kdinfrasnmp
IPSEC-VPN Network,Network/IPSEC-VPN Network,Seotan Factory (Guro R&D Center) IPSEC VPN,Seotan Factory (Guro R&D Center) IPSEC VPN,192.168.98.5,kdinfrasnmp
IPSEC-VPN Network,Network/IPSEC-VPN Network,Goyang Office IPSEC VPN,Goyang Office IPSEC VPN,192.168.87.2,kdinfrasnmp
IPSEC-VPN Network,Network/IPSEC-VPN Network,Jeonju Office IPSEC VPN,Jeonju Office IPSEC VPN,192.168.58.1,kdinfrasnmp
IPSEC-VPN Network,Network/IPSEC-VPN Network,Pohang Office IPSEC VPN,Pohang Office IPSEC VPN,192.168.88.2,kdinfrasnmp
IPSEC-VPN Network,Network/IPSEC-VPN Network,Suwon Office IPSEC VPN,Suwon Office IPSEC VPN,192.168.95.2,kdinfrasnmp
IPSEC-VPN Network,Network/IPSEC-VPN Network,Tianjin Branch IPSEC VPN,Tianjin Branch IPSEC VPN,192.168.1.1,kdinfrasnmp
IPSEC-VPN Network,Network/IPSEC-VPN Network,Kunshan Branch IPSEC VPN,Kunshan Branch IPSEC VPN,39.115.103.130,kdinfrasnmp
IPSEC-VPN Network,Network/IPSEC-VPN Network,Gimpo Factory IPSEC VPN,Gimpo Factory IPSEC VPN,192.168.79.1,kdinfrasnmp
IPSEC-VPN Network,Network/IPSEC-VPN Network,Gangneung Office IPSEC VPN,Gangneung Office IPSEC VPN,192.168.93.2,kdinfrasnmp
IPSEC-VPN Network,Network/IPSEC-VPN Network,Yongin Office IPSEC VPN,Yongin Office IPSEC VPN,192.168.89.2,kdinfrasnmp
SWG Network,Network/SWG Network,Daejeon SWG,Daejeon SWG,192.168.33.13,kdinfrasnmp
Backbone Network,Network/Backbone Network,Gasan Factory BB,Gasan Factory BB,192.168.50.1,kdinfrasnmp
